,count,mean,std,min,25%,50%,75%,max
a,53135.0,5.393026641351939,2.7475257128850474,1.0,3.1176470588235294,5.235294117647059,7.882352941176471,10.0
b,53135.0,5.392478647617887,2.748347024271429,1.0,3.1176470588235294,5.235294117647059,7.882352941176471,10.0
time,53135.0,0.07782083663919977,0.05942718822225634,0.001,0.0218911616,0.0626457266,0.126736267,0.2
